ad_id,data_source,ad_archive_id,creative_id,page_id,advertiser_id,google_advertiser_id,google_creative_id,primary_country,all_countries,region_name,primary_vehicle,all_vehicles,vehicle_count,advertiser_name,advertiser_type,brand_detected,ad_title,ad_description,ad_text_length,ocr_text_sample,matching_fields,quality_score,feature_count,has_multiple_vehicles,has_multiple_countries,is_official_brand,is_dealer,is_tesla,is_german_brand,is_korean_brand,is_germany,is_netherlands,is_portugal,analysis_error,image_analysis_count,extracted_text,analysis_themes,market_penetration_score,vehicle_popularity_score,openai_features
fb_147,Facebook,1175276230955170.0,,2349655208461128.0,2349655208461128.0,,,Germany,Germany,,Hyundai Ioniq 5,Hyundai Ioniq 5,1,Zeshan Quddusi,unknown,unknown,2022 Hyundai Ioniq 5 SE,"2022 Hyundai Ioniq 5 SE - $21,900.00 23400.00

2022 Hyundai Ioniq 5

71k miles

Forward collision 
Blind spot assist 
Back up camera 
Bluetooth 
Apple CarPlay android auto 

Runs and drives with no issues. Everything works as it should and very well taken care of. Ready to go 0 accidents and 1 owner and holds a clean title 

$21900 asking 
Financing available

Learn more about this listing on Facebook Marketplace: https://facebook.com/marketplace/item/9521934911151814/",497,,,100.0,1,False,False,False,False,False,False,True,True,False,False,,4,(No visible text in the image) | (No visible text in the image itself) | (No visible text in the image),"The ad features a sleek, modern design emphasizing the futuristic and eco-friendly aspect of the Hyundai Ioniq 5. The setting is outdoors with a natural background, highlighting the vehicle's stylish and innovative appearance in a calm, scenic environment. The overall style is clean and minimalist, focusing on the car's contemporary aesthetics. |",0.5882352941176471,27.36638763683194,"{""Performance"": {""source"": ""ad_description"", ""claim"": ""Runs and drives with no issues"", ""positioning"": ""practical"", ""tone"": ""confident""}, ""Interior & Comfort"": {""source"": ""ad_description"", ""claim"": ""Everything works as it should and very well taken care of"", ""positioning"": ""practical"", ""tone"": ""confident""}, ""Tech & Infotainment"": {""source"": ""ad_description"", ""claim"": ""Bluetooth, Apple CarPlay, Android Auto"", ""positioning"": ""practical"", ""tone"": ""professional""}, ""Safety & Assistance"": {""source"": ""ad_description"", ""claim"": ""Forward collision, Blind spot assist, Back up camera"", ""positioning"": ""safety"", ""tone"": ""professional""}, ""Connectivity"": {""source"": ""ad_description"", ""claim"": ""Bluetooth, Apple CarPlay, Android Auto"", ""positioning"": ""practical"", ""tone"": ""professional""}, ""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""$21900 asking price, Financing available"", ""positioning"": ""value"", ""tone"": ""professional""}}"
fb_368,Facebook,1228720215365717.0,,104860238399466.0,104860238399466.0,,,Germany,Germany,,Tesla Model Y,Tesla Model Y,1,Karim Eissawi,unknown,unknown,2022 Tesla Model Y Performance AWD,"2022 Tesla Model Y Performance AWD - $499.00

MONTHLY PAYMENTS AS LOW AS $499!!!

2022 Tesla Model Y Performance AWD

1 Owner/Clean Carfax/Over 300 mile range - Equivalent to 111 MPG

Fully Loaded w/ additional features like Auto Pilot

Come in, take a look. 
Take a test drive 
Take the car home today!! 
Good condition, clean title.  ✔️ 
You can leave with your new car in 45 minutes
You work your drive 

HABLAMOS ESPAÑOL 
Entra, echa un vistazo. 
Haz una prueba de manejo 
¡¡Llévate el auto a casa hoy!! 
Buen estado, título limpio.  ✔️ 

Todos te dicen no afuera Champion te decimos SI 
Podrás salir con tu coche nuevo en 45 minutos. 

Learn more about this listing on Facebook Marketplace: https://facebook.com/marketplace/item/645424005221705/",785,,,100.0,2,False,False,False,False,True,False,False,True,False,False,,2,"""Tesla"" (on the front of the car)
Yellow sticker on the windshield (text not clearly visible)
[No other visible text in the image] | - (Yellow sticker on windshield): ""NEW""
- (License plate area): No visible text
- No other visible text such as brand names, model names, slogans, prices, contact info, or specifications","The ad features a sleek, modern Tesla Model Y with a minimalist and clean visual style. The focus is on the car's design and sophistication, with a subtle emphasis on its electric and innovative nature, conveyed through the polished look and outdoor setting. |",0.5882352941176471,44.68770122343851,"{""Range & Charging"": {""source"": ""ad_description"", ""claim"": ""Over 300 mile range"", ""positioning"": ""eco-friendly"", ""tone"": ""confident""}, ""Performance"": {""source"": ""ad_title"", ""claim"": ""Performance AWD variant"", ""positioning"": ""performance"", ""tone"": ""exciting""}, ""Safety & Assistance"": {""source"": ""ad_description"", ""claim"": ""Auto Pilot feature"", ""positioning"": ""innovative"", ""tone"": ""confident""}, ""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""Monthly payments as low as $499"", ""positioning"": ""value"", ""tone"": ""urgent""}}"
fb_387,Facebook,1378863326725451.0,,107958585547749.0,107958585547749.0,,,Germany,Germany,,Tesla Model Y,Tesla Model Y,1,Lisa Garcia,unknown,unknown,2020 Tesla Model Y Long Range Sport,"2020 Tesla Model Y Long Range Sport - $25,988.00

2020 TESLA MODEL Y LONG RANGE SPORT VIN: 5YJYGDEE7LF047199
ELECTRIC ALL WHEEL DRIVE 2-Owner
Rebuilt title in hand
-Price listed is after 3K down.

Act now and make it yours today!  
Contact Information:
📱8I3 77O 6565
🌐 Website: oceandrivemotorcars.com
📍 4502 W. Linebaugh Ave Tampa, FL 33624.
Hablamos Español

Free Carfax Report available on our website

Typographical errors are not assumed.

Learn more about this listing on Facebook Marketplace: https://facebook.com/marketplace/item/4162776814009019/",591,,,100.0,3,False,False,False,False,True,False,False,True,False,False,,2,"Tesla (logo on the front of the car)
No other visible text in the image | Tesla (logo on the front of the car)
Tesla Model Y (on the advertisement, not visible on the car itself but mentioned in context)
Lisa Garcia (byline in context)
No other visible text in the image","The ad features a sleek, modern, and minimalist style, emphasizing the clean design and futuristic appeal of the Tesla Model Y. The setting is outdoors in a parking lot with natural lighting, highlighting the vehicle's smooth lines and contemporary aesthetic. |",0.5882352941176471,44.68770122343851,"{""Performance"": {""source"": ""ad_description"", ""claim"": ""Electric All Wheel Drive"", ""positioning"": ""performance"", ""tone"": ""professional""}, ""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""Price listed is after 3K down, $25,988.00"", ""positioning"": ""value"", ""tone"": ""urgent""}, ""Exterior Design"": {""source"": ""extracted_text"", ""claim"": ""Tesla logo on the front of the car"", ""positioning"": ""premium"", ""tone"": ""confident""}}"
fb_389,Facebook,4104448086544640.0,,100628041543093.0,100628041543093.0,,,Germany,Germany,,Tesla Model Y,Tesla Model Y,1,Laz Camilo Rodriguez,unknown,unknown,2020 Tesla Model Y Long Range Sport,"2020 Tesla Model Y Long Range Sport - $25,988.00

2020 TESLA MODEL Y LONG RANGE
VIN: 5YJYGDEE7LF047199
SPORT AWD 2-Owner
Rebuilt Title in Hand
-Price listed is after 3K down.

Act now and make it yours today!  
Contact Information:
📱8I3 77O 6565
🌐 Website: oceandrivemotorcars.com
📍 4502 W. Linebaugh Ave Tampa, FL 33624.
Hablamos Español

Free Carfax Report available on our website

Typographical errors are not assumed.

  

Learn more about this listing on Facebook Marketplace: https://facebook.com/marketplace/item/1421700932432974/",578,,,100.0,2,False,False,False,False,True,False,False,True,False,False,,2,(No visible text in the image) | Tesla,"The ad features a sleek, modern, and minimalist style, emphasizing the clean design and futuristic appeal of the Tesla Model Y. The setting is outdoors in a parking lot with natural lighting, highlighting the car's smooth lines and contemporary aesthetic. |",0.5882352941176471,44.68770122343851,"{""Performance"": {""source"": ""ad_title"", ""claim"": ""Long Range Sport"", ""positioning"": ""premium"", ""tone"": ""confident""}, ""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""Price listed is $25,988.00 after 3K down"", ""positioning"": ""value"", ""tone"": ""urgent""}}"
fb_435,Facebook,1726154638025485.0,,142610389120822.0,142610389120822.0,,,Germany,Germany,,VW ID.4,VW ID.4,1,Serramonte Volkswagen,dealer,Volkswagen,2025 ID.4 Special Offer,"📣 Hot Summer Sales Event!
2025 ID.4 Limited
🌟 Selling Price: $35,469 | MSRP: $41,826
OR
🌟 0% APR Financing for 72 months.

Offer ends 6/30/2025.

Discover the 2025 VW ID.4 – an electric SUV that combines impressive range, smooth performance, and advanced tech. With a spacious interior and seamless connectivity, every drive is effortless. 

Don’t wait! Visit Serramonte Volkswagen for a test drive or reserve your 2025 ID.4 now!

🚘 Get Offer
https://www.serramontevw.com/new-inventory/index.htm?year=2025&model=ID.4&trim=Limited

📍 Visit Us
711 Serramonte Blvd, Colma, CA 94014
https://maps.app.goo.gl/EcceURLpg1XTYeto8",651,,,100.0,5,False,False,False,True,False,True,False,True,False,False,,1,,,0.5882352941176471,18.866709594333543,"{""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""Selling Price: $35,469 | MSRP: $41,826 or 0% APR Financing for 72 months"", ""positioning"": ""value"", ""tone"": ""urgent""}, ""Interior & Comfort"": {""source"": ""ad_description"", ""claim"": ""Spacious interior"", ""positioning"": ""practical"", ""tone"": ""confident""}, ""Tech & Infotainment"": {""source"": ""ad_description"", ""claim"": ""Advanced tech and seamless connectivity"", ""positioning"": ""innovative"", ""tone"": ""confident""}, ""Performance"": {""source"": ""ad_description"", ""claim"": ""Smooth performance"", ""positioning"": ""practical"", ""tone"": ""confident""}}"
fb_455,Facebook,1267300964616356.0,,343467312184950.0,,,,Germany,Germany,,Tesla Model Y,"Tesla Model Y, Hyundai Ioniq 5, VW ID.4",3,Markus Veistinen - If Vakuutus,unknown,unknown,,"Paljonko sähköauton vakuutus maksaa vuoden 2024 syksyllä keskimäärin?
Tässä omat hinta-arviot, jos mukaan on laskettu liikennevakuutus, täyskasko sekä lasiturva:
(Näitä ei voi kaikille luvata, nämä ovat vain suuntaa antavia hintoja, jotka perustuvat omaan hinta-arvioon mututuntumalta. Hinnoitteluun vaikuttaa mm. vuotuiset ajokilometrit, bonukset sekä vahinkohistoria.)
Teslat:
Model 3: Noin 900e-1000e/vuosi
Model Y:Noin 1000e- 1100e/vuosi
S ja x: Noin 1100e/vuosi
Polestarit
Noin 1000e/vuosi
VW:
ID3: Noin 800e/vuosi
ID4: Noin 900e/vuosi
ID5: Noin 1000e/vuosi
BMW
 i4: Noin 1000e-1100e/vuosi
 i5: Noin 1100e/vuosi
Mercedes 
Eqa: Noin 900e/vuosi
Eqb: Noin 1000e/vuosi
Eqc: Noin 1000e/vuosi
Eqe: Noin 1000e/vuosi
Eqs: Noin 1100e/vuosi
Audi 
E-tron:
Noin 1000e/vuosi
Skoda: 
Enyaq: Noin 1000e/vuosi
Hyundai 
Ioniq 5: Noin 1000e/vuosi
Kona: Noin 700e-800e/vuosi
Kia EV6: Noin 900e-1000e/vuosi
Kia EV9: Noin 1000e/vuosi
Jos sähköauton vakuutus tuntuu kalliilta...
KYSY TARJOUS! 
 - Parhaimmillaan monen sadan euron säästöt jopa kattavammalla turvalla!
- Ei määräaikaisalennuksia! 
- Laskutus jopa kerran kuussa ilman lisäkuluja!
Tarjouspyynnöt:
markus.veistinen@if.fi
045 3249198
Soita/Laita viesti/Sähköposti/WhatsApp!
(Mainos oli sähköautoilijoille suunnattu, mutta teen mielelläni kaikille vakuutustarjouksen, löytyi sähköauto tai ei!)
Jos vakuutuksen kilpailutus ei ole ajankohtaista niin liity ainakin uuteen sähköautoryhmääni! (Täällä ei vakuutuksia markkinoida)
https://www.facebook.com/groups/1372009320423868/",1516,,,100.0,0,True,False,False,False,True,True,True,True,False,False,,1,,,0.5882352941176471,44.68770122343851,"{""Pricing & Finance"": [{""source"": ""ad_description"", ""claim"": ""Tesla Model 3 insurance cost: 900e-1000e/year"", ""positioning"": ""premium"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""Tesla Model Y insurance cost: 1000e-1100e/year"", ""positioning"": ""premium"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""Tesla Model S and X insurance cost: 1100e/year"", ""positioning"": ""premium"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""Polestar insurance cost: 1000e/year"", ""positioning"": ""premium"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""VW ID3 insurance cost: 800e/year"", ""positioning"": ""value"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""VW ID4 insurance cost: 900e/year"", ""positioning"": ""value"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""VW ID5 insurance cost: 1000e/year"", ""positioning"": ""value"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""BMW i4 insurance cost: 1000e-1100e/year"", ""positioning"": ""premium"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""BMW i5 insurance cost: 1100e/year"", ""positioning"": ""premium"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""Mercedes EQ series insurance cost: 900e-1100e/year"", ""positioning"": ""luxury"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""Audi E-tron insurance cost: 1000e/year"", ""positioning"": ""premium"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""Skoda Enyaq insurance cost: 1000e/year"", ""positioning"": ""value"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""Hyundai Ioniq 5 and Kona insurance cost: 700e-1000e/year"", ""positioning"": ""value"", ""tone"": ""professional""}, {""source"": ""ad_description"", ""claim"": ""Kia EV6 and EV9 insurance cost: 900e-1000e/year"", ""positioning"": ""value"", ""tone"": ""professional""}]}"
fb_523,Facebook,1347627986332430.0,,102149768638638.0,102149768638638.0,,,Germany,Germany,,Tesla Model Y,Tesla Model Y,1,Scott Novotny,unknown,unknown,Brand New '24 Genie GR-15 Vertical Mast Lift,"Brand New '24 Genie GR-15 Vertical Mast Lift - $13,999.00 17000.00

$19,495  MSRP

New / Never used 
'24 model year 
Less than 1 hr
Perfect condition 
15' deck height
21' working height 
Slide out deck extension 
Local delivery available 
Nationwide shipping available

Also have a brand new '24 Genie GS-1930 available 

Several other sizes / makes used lifts available 

*We transport to the Detroit area regularly.

Nationwide Transportation Available 

Located in Cleveland Ohio
5 min N of Hopkins Airport 

Message for more information or any questions 

Additional information;
The 2024 Genie GR-15 is a compact, electric vertical mast lift with a 20 ft 8 in (6.47 m) working height and a 500 lb (227 kg) capacity. It has a stowed height of 5 ft 10 in (1.78 m) and a machine width of 2 ft 5.5 in (75 cm). 
Key Features and Specifications:
Working Height: 20 ft 8 in (6.47 m)
Capacity: 500 lb (227 kg)
Stowed Height: 5 ft 10 in (1.78 m)
Machine Width: 2 ft 5.5 in (75 cm)
Weight: 2,192 lb (994 kg)
Zero Inside Turning Radius: Allows for maneuverability in tight spaces
Drive Speed - Stowed: 2.5 mph (4.0 km/h)
Lifting Speed - Raise/Lower: 21 / 19 sec
Tilt Sensor Activation: 3° front to back / 1.5° side to side
Power: 24V (4 x 6V 225Ah)
Tires: Solid non-marking 

Tags: 1930ES, 1930, ES, 1932, 2630ES, 2630, 3246, 400s, 460sj, 600s, 660sj, 800s, 860sj, 6032, 6042, 8042, 10054, 1054, 1732, construction, home improvement, warehouse, material handling, power, rental, business, aviation, airport, contractor, jlg, genie, toyota, gehl, jcb, articulating boom, telescopic boom, yale, hyster, multiquip, cat, catterpillar, skytrak, bobcat, haulotte, mec, snorkel, skyjack, niftylift, mitsubishi, hyundai, pneumatic, cummins, deutz, mmd, mq, doosan

Learn more about this listing on Facebook Marketplace: https://facebook.com/marketplace/item/1087220549891052/",1906,,,100.0,2,False,False,False,False,True,False,False,True,False,False,,1,,,0.5882352941176471,44.68770122343851,"{""Performance"": {""source"": ""ad_description"", ""claim"": ""Zero Inside Turning Radius, Drive Speed - Stowed: 2.5 mph (4.0 km/h), Lifting Speed - Raise/Lower: 21 / 19 sec"", ""positioning"": ""practical"", ""tone"": ""technical""}, ""Interior & Comfort"": {""source"": ""ad_description"", ""claim"": ""15' deck height, 21' working height, Slide out deck extension"", ""positioning"": ""practical"", ""tone"": ""professional""}, ""Tech & Infotainment"": {""source"": ""ad_description"", ""claim"": ""Tilt Sensor Activation: 3\u00b0 front to back / 1.5\u00b0 side to side"", ""positioning"": ""innovative"", ""tone"": ""technical""}, ""Exterior Design"": {""source"": ""ad_description"", ""claim"": ""Machine Width: 2 ft 5.5 in (75 cm), Weight: 2,192 lb (994 kg), Tires: Solid non-marking"", ""positioning"": ""practical"", ""tone"": ""technical""}, ""Safety & Assistance"": {""source"": ""ad_description"", ""claim"": ""Tilt Sensor Activation: 3\u00b0 front to back / 1.5\u00b0 side to side"", ""positioning"": ""safety"", ""tone"": ""professional""}, ""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""$19,495 MSRP"", ""positioning"": ""value"", ""tone"": ""professional""}}"
fb_524,Facebook,1657703498284398.0,,102149768638638.0,102149768638638.0,,,Germany,Germany,,Tesla Model Y,Tesla Model Y,1,Scott Novotny,unknown,unknown,New 2024 Genie GR-15 Vertical Mast Lift (not scissor lift),"New 2024 Genie GR-15 Vertical Mast Lift (not scissor lift) - $13,999.00 17000.00

$19,495 when purchased 

New / Never used 
'24 model year 
Less than 1 hour
Perfect condition 
15' deck height
21' working height 
Slide out deck
Local delivery available 
Nationwide shipping available

I also have a brand new '24 Genie GS-1930 available 

Several other size used scissor lifts available 

Located in Cleveland Ohio
5 min N of Hopkins Airport 

Additional information;
The 2024 Genie GR-15 is a compact, electric vertical mast lift with a 20 ft 8 in (6.47 m) working height and a 500 lb (227 kg) capacity. It has a stowed height of 5 ft 10 in (1.78 m) and a machine width of 2 ft 5.5 in (75 cm). 
Key Features and Specifications:
Working Height: 20 ft 8 in (6.47 m)
Capacity: 500 lb (227 kg)
Stowed Height: 5 ft 10 in (1.78 m)
Machine Width: 2 ft 5.5 in (75 cm)
Weight: 2,192 lb (994 kg)
Zero Inside Turning Radius: Allows for maneuverability in tight spaces
Drive Speed - Stowed: 2.5 mph (4.0 km/h)
Lifting Speed - Raise/Lower: 21 / 19 sec
Tilt Sensor Activation: 3° front to back / 1.5° side to side
Power: 24V (4 x 6V 225Ah)
Tires: Solid non-marking 

Tags: 1930ES, 1930, ES, 1932, 2630ES, 2630, 3246, 400s, 460sj, 600s, 660sj, 800s, 860sj, 6032, 6042, 8042, 10054, 1054, 1732, construction, home improvement, warehouse, material handling, power, rental, business, aviation, airport, contractor, jlg, genie, toyota, gehl, jcb, articulating boom, telescopic boom, yale, hyster, multiquip, cat, catterpillar, skytrak, bobcat, haulotte, mec, snorkel, skyjack, niftylift, mitsubishi, hyundai, pneumatic, cummins, deutz, mmd, mq, doosan

Learn more about this listing on Facebook Marketplace: https://facebook.com/marketplace/item/1856341515144808/",1804,,,100.0,2,False,False,False,False,True,False,False,True,False,False,,1,,,0.5882352941176471,44.68770122343851,"{""Performance"": {""source"": ""ad_description"", ""claim"": ""Drive Speed - Stowed: 2.5 mph (4.0 km/h), Lifting Speed - Raise/Lower: 21 / 19 sec"", ""positioning"": ""practical"", ""tone"": ""technical""}, ""Interior & Comfort"": {""source"": ""ad_description"", ""claim"": ""15' deck height, 21' working height, Slide out deck"", ""positioning"": ""practical"", ""tone"": ""professional""}, ""Exterior Design"": {""source"": ""ad_description"", ""claim"": ""Machine Width: 2 ft 5.5 in (75 cm), Weight: 2,192 lb (994 kg), Tires: Solid non-marking"", ""positioning"": ""practical"", ""tone"": ""technical""}, ""Safety & Assistance"": {""source"": ""ad_description"", ""claim"": ""Zero Inside Turning Radius: Allows for maneuverability in tight spaces, Tilt Sensor Activation: 3\u00b0 front to back / 1.5\u00b0 side to side"", ""positioning"": ""practical"", ""tone"": ""professional""}, ""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""New 2024 Genie GR-15 Vertical Mast Lift (not scissor lift) - $13,999.00 17000.00, $19,495 when purchased"", ""positioning"": ""value"", ""tone"": ""urgent""}}"
fb_545,Facebook,1363440038213312.0,,120701167987009.0,120701167987009.0,,,Germany,Germany,,VW ID.4,VW ID.4,1,Caffyns Volkswagen Brighton,dealer,Volkswagen,Caffyns Exclusive All-Electric Offers,"🚘🎈 Save up to £5,837 on an all-electric Volkswagen at the Caffyns #Volkswagen Cost Price Event!

👉 Exclusively at Caffyns, you can save up to £5,837 on selected all-electric Volkswagen models from our new car range including the ID.3, ID.4 and ID.5.",305,,,100.0,4,False,False,False,True,False,True,False,True,False,False,,1,,,0.5882352941176471,18.866709594333543,"{""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""Save up to \u00a35,837 on an all-electric Volkswagen"", ""positioning"": ""value"", ""tone"": ""urgent""}}"
fb_546,Facebook,1451499086034639.0,,482431788547009.0,482431788547009.0,,,Germany,Germany,,VW ID.4,VW ID.4,1,Caffyns Volkswagen Worthing,dealer,Volkswagen,Caffyns Exclusive All-Electric Offers,"🚘🎈 Save up to £5,837 on an all-electric Volkswagen at the Caffyns #Volkswagen Cost Price Event!

👉 Exclusively at Caffyns, you can save up to £5,837 on selected all-electric Volkswagen models from our new car range including the ID.3, ID.4 and ID.5.",305,,,100.0,4,False,False,False,True,False,True,False,True,False,False,,1,,,0.5882352941176471,18.866709594333543,"{""Pricing & Finance"": {""source"": ""ad_description"", ""claim"": ""Save up to \u00a35,837 on an all-electric Volkswagen"", ""positioning"": ""value"", ""tone"": ""urgent""}}"
